cryptocurrency_id,timestamp,current_supply
ethereum,2018-07-17,100755664
ethereum,2018-07-18,100775993
ethereum,2018-07-19,100796423
ethereum,2018-07-20,100816608
ethereum,2018-07-21,100837178
ethereum,2018-07-22,100857948
ethereum,2018-07-23,100878384
ethereum,2018-07-24,100898948
ethereum,2018-07-25,100919718
ethereum,2018-07-26,100940142
ethereum,2018-07-27,100960655
ethereum,2018-07-28,100981096
ethereum,2018-07-29,101001590
ethereum,2018-07-30,101022005
ethereum,2018-07-31,101042599
ethereum,2018-08-01,101063027
ethereum,2018-08-02,101083578
ethereum,2018-08-03,101104095
ethereum,2018-08-04,101124697
ethereum,2018-08-05,101145226
ethereum,2018-08-06,101165637
ethereum,2018-08-07,101186035
ethereum,2018-08-08,101206594
ethereum,2018-08-09,101227121
ethereum,2018-08-10,101247565
ethereum,2018-08-11,101268202
ethereum,2018-08-12,101288554
ethereum,2018-08-13,101308953
ethereum,2018-08-14,101329287
ethereum,2018-08-15,101349634
ethereum,2018-08-16,101370062
ethereum,2018-08-17,101390564
ethereum,2018-08-18,101411036
ethereum,2018-08-19,101431491
ethereum,2018-08-20,101451938
ethereum,2018-08-21,101472431
ethereum,2018-08-22,101492732
ethereum,2018-08-23,101513076
ethereum,2018-08-24,101533810
ethereum,2018-08-25,101554233
ethereum,2018-08-26,101574654
ethereum,2018-08-27,101595197
ethereum,2018-08-28,101615586
ethereum,2018-08-29,101635856
ethereum,2018-08-30,101656344
ethereum,2018-08-31,101676775
ethereum,2018-09-01,101697161
ethereum,2018-09-02,101717661
ethereum,2018-09-03,101737989
ethereum,2018-09-04,101758533
ethereum,2018-09-05,101778862
ethereum,2018-09-06,101799428
ethereum,2018-09-07,101819646
ethereum,2018-09-08,101839936
ethereum,2018-09-09,101860203
ethereum,2018-09-10,101880640
ethereum,2018-09-11,101900885
ethereum,2018-09-12,101921288
ethereum,2018-09-13,101941711
ethereum,2018-09-14,101962143
ethereum,2018-09-15,101982580
ethereum,2018-09-16,102003089
ethereum,2018-09-17,102023565
ethereum,2018-09-18,102043747
ethereum,2018-09-19,102064296
ethereum,2018-09-20,102084720
ethereum,2018-09-21,102105440
ethereum,2018-09-22,102125761
ethereum,2018-09-23,102146083
ethereum,2018-09-24,102166426
ethereum,2018-09-25,102186844
ethereum,2018-09-26,102207447
ethereum,2018-09-27,102227961
ethereum,2018-09-28,102248376
ethereum,2018-09-29,102268616
ethereum,2018-09-30,102289127
ethereum,2018-10-01,102309429
ethereum,2018-10-02,102329944
ethereum,2018-10-03,102350237
ethereum,2018-10-04,102370609
ethereum,2018-10-05,102390786
ethereum,2018-10-06,102411278
ethereum,2018-10-07,102431799
ethereum,2018-10-08,102452224
ethereum,2018-10-09,102472577
ethereum,2018-10-10,102492939
ethereum,2018-10-11,102513424
ethereum,2018-10-12,102533808
ethereum,2018-10-13,102554245
ethereum,2018-10-14,102574706
ethereum,2018-10-15,102595024
ethereum,2018-10-16,102615404
ethereum,2018-10-17,102635802
ethereum,2018-10-18,102656241
ethereum,2018-10-19,102676535
ethereum,2018-10-20,102696985
ethereum,2018-10-21,102717340
ethereum,2018-10-22,102737590
ethereum,2018-10-23,102758166
ethereum,2018-10-24,102778549
ethereum,2018-10-25,102798796
ethereum,2018-10-26,102819296
ethereum,2018-10-27,102839541
ethereum,2018-10-28,102859850
ethereum,2018-10-29,102880246
ethereum,2018-10-30,102900417
ethereum,2018-10-31,102920922
ethereum,2018-11-01,102941161
ethereum,2018-11-02,102961301
ethereum,2018-11-03,102981481
ethereum,2018-11-04,103001764
ethereum,2018-11-05,103022158
ethereum,2018-11-06,103042410
ethereum,2018-11-07,103062892
ethereum,2018-11-08,103083125
ethereum,2018-11-09,103103372
ethereum,2018-11-10,103123789
ethereum,2018-11-11,103144099
ethereum,2018-11-12,103164409
ethereum,2018-11-13,103184681
ethereum,2018-11-14,103204800
ethereum,2018-11-15,103224808
ethereum,2018-11-16,103245086
ethereum,2018-11-17,103265107
ethereum,2018-11-18,103285316
ethereum,2018-11-19,103305230
ethereum,2018-11-20,103325245
ethereum,2018-11-21,103345472
ethereum,2018-11-22,103365408
ethereum,2018-11-23,103385530
ethereum,2018-11-24,103405536
ethereum,2018-11-25,103425554
ethereum,2018-11-26,103445602
ethereum,2018-11-27,103465351
ethereum,2018-11-28,103485244
ethereum,2018-11-29,103505344
ethereum,2018-11-30,103525266
ethereum,2018-12-01,103545029
ethereum,2018-12-02,103564659
ethereum,2018-12-03,103584257
ethereum,2018-12-04,103603918
ethereum,2018-12-05,103623626
ethereum,2018-12-06,103643369
ethereum,2018-12-07,103662859
ethereum,2018-12-08,103682399
ethereum,2018-12-09,103701976
ethereum,2018-12-10,103722004
ethereum,2018-12-11,103741364
ethereum,2018-12-12,103760970
ethereum,2018-12-13,103780735
ethereum,2018-12-14,103800147
ethereum,2018-12-15,103819961
ethereum,2018-12-16,103839487
ethereum,2018-12-17,103858553
ethereum,2018-12-18,103877422
ethereum,2018-12-19,103896218
ethereum,2018-12-20,103915024
ethereum,2018-12-21,103933854
ethereum,2018-12-22,103952892
ethereum,2018-12-23,103971762
ethereum,2018-12-24,103990807
ethereum,2018-12-25,104009886
ethereum,2018-12-26,104029131
ethereum,2018-12-27,104048066
ethereum,2018-12-28,104067047
ethereum,2018-12-29,104086202
ethereum,2018-12-30,104105049
ethereum,2018-12-31,104124050
ethereum,2019-01-01,104142768
ethereum,2019-01-02,104161888
ethereum,2019-01-03,104179821
ethereum,2019-01-04,104197653
ethereum,2019-01-05,104215675
ethereum,2019-01-06,104233482
ethereum,2019-01-07,104251524
ethereum,2019-01-08,104269302
ethereum,2019-01-09,104287324
ethereum,2019-01-10,104305171
ethereum,2019-01-11,104322969
